Top Stories,Article,Publication,Reliability Range (Interactive MB),Bias Range (Interactive MB),Audience (Interactive MB),MB/FC Slant,Rank Number,Date Recorded,Within 24 hours?,,Factual Reporting,,(probably not needed)
Biden blasts COVID-19 Vaccine Misinformation on Social Media,,The Wall Street Journal,46.32,4.92,"39,430,000",Right-Center,24,"July 17, 2021",FALSE,,,,
The largest wildfire in the US has grown about 1000 acres every hour,,CNN,43.77,-8.78,"79,900,000",Left,25,"July 17, 2021",FALSE,,,,
Delta is driving a wedge throught Missouri,,The Atlantic,40.14,-9.52,"16,075,000",Left-Center,26,"July 17, 2021",FALSE,,,,
Border patrol arrests hit a 20 year high last month -- but migration isn't neccesarily struglling,,Forbes,,,,Right-Center,27,"July 17, 2021",FALSE,,,,
Judge orders US to close DACA program to new applicants,,CBS News,48.04,-3.14,"24,400,000",Left-Center,28,"July 17, 2021",TRUE,,,,
European officals say climate change has arrived as deadly floods engulf entire towns,,CNN,43.77,-8.78,"79,900,000",Left,29,"July 17, 2021",FALSE,,,,
US - Mexico border apprehensions for the fiscal year surpassed 1 million in June,,The Washington Post,44.05,-7.42,"76,195,000",Left-Center,30,"July 17, 2021",TRUE,,,,
,,,,,,,,,,,,,
"Coco Gauff tests positive for COVID-19, out of Tokyo Olympics",,NBC Sports,,,,Left Center,1,"July 18, 2021",TRUE,,,,
"Massive Sugar fire and two other blazes sweep Northern California, fed by dry, gusty conditions",,Los Angeles Times,,,,Left Center,2,"July 18, 2021",TRUE,,,,
He Left Me All Alone In The World': India's COVID Widows Struggle To Survive,,NPR,46.41,-5.24,"38,240,000",Left-Center,3,"July 18, 2021",TRUE,,,,
Everyone on Death Row Gets a Lawyer. Not Everyone Gets a Kim Kardashian.,,The Marshall Project,,,,Neutral,4,"July 18, 2021",FALSE,,,,
Indonesia is battling a devestating Covid-19 crisis. And its peak is likely still to come,,CNN,43.77,-8.78,"79,900,000",Left,5,"July 18, 2021",TRUE,,,,
"Private Israeli spyware used to hack cellphones of journalists, activists worldwide",,The Washington Post,44.05,-7.42,"76,195,000",Left-Center,6,"July 18, 2021",TRUE,,,,
COVID-related problems mount as athletes and officials arrive for Tokyo Olympics,,The Wall Street Journal,46.32,4.92,"39,430,000",Right-Center,7,"July 18, 2021",TRUE,,,,
The Open 2021: Collin Morikawa wins the 149th Open Championship,,Golf Digest,,,,Unknown,8,"July 18, 2021",TRUE,,,,
What the megadrought means to the American West,,CBS News,48.04,-3.14,"24,400,000",Left-Center,9,"July 18, 2021",TRUE,,,,
Here's why we call this time of year the 'dog days' of summer,,National Geographic,46.11,-2.58,,Pro-Science,10,"July 18, 2021",FALSE,,,,
Unvaccinated Americans Are Behind Rising Covid-19 Hospitalizations,,The Wall Street Journal,46.32,4.92,"39,430,000",Right-Center,11,"July 18, 2021",TRUE,,,,
Two South African soccer players 1st athletes residing in Tokyo Olympic Village to test positive for COVID-19,,ESPN,,,,Left-Center,12,"July 18, 2021",TRUE,,,,
Enormous scale of destruction is reveled as water subsides after historic western Europe flooding,,CNN,43.77,-8.78,"79,900,000",Left,13,"July 18, 2021",TRUE,,,,
The Smoke Comes Every Year. Sugar Companies Say the Air Is Safe,,Pro Publica,,,,Left-Center,14,"July 18, 2021",TRUE,,,,
How to stay safe as covid-19 cases from the delta variant are on the rise,,The Washington Post,44.05,-7.42,"76,195,000",Left-Center,15,"July 18, 2021",TRUE,,,,
"Germany knew the floods were coming, but the warnings didn't work",,The Times and The Sunday Times,,,,Right-Center,16,"July 18, 2021",FALSE,,,,
Padres-Nationals game halted after shooting outside stadium,,The San Diego Union-Tribune,,,,Neutral,17,"July 18, 2021",TRUE,,,,
First Covid-19 Infections Among Athletes in Olympic Village Are Confirmed,,The Wall Street Journal,46.32,4.92,"39,430,000",Right-Center,18,"July 18, 2021",TRUE,,,,
A federal judge just declared DACA unlawful. Here's what that means.,,Vox,39.97,-11.26,"13,948,400",Left,19,"July 18, 2021",FALSE,,,,
Cubans' calls for political change grow louder than ever: 'Not about the embargo',,NBC News,45.81,-7.46,"26,225,000",Left Center,20,"July 18, 2021",FALSE,,,,
The delta varient is ravaging this Missouri city. Many residents are still wary of vaccines.,,The Washington Post,44.05,-7.42,"76,195,000",Left-Center,21,"July 18, 2021",FALSE,,,,
"1 year after death of John Lewis, voting rights remain key issue",,ABC News,47.28,-4.9,"39,500,000",Left-Center,22,"July 18, 2021",FALSE,,,,
One Of The Deadliest U.S. Accidental Structural Collapses Happened 40 Years Ago Today,,NPR,46.41,-5.24,"38,240,000",Left-Center,23,"July 18, 2021",FALSE,,,,
How climate change fueled the devestating floods in Germany and northwest Europe,,Vox,,,,Left,24,"July 18, 2021",FALSE,,,,
"Biden calls court's DACA decision 'deeply disappointing,' vows to appeal it",,The Hill,44.99,-0.38,"24,400,000",Neutral,25,"July 18, 2021",FALSE,,,,
Five Texas House Democrats in Washington test positive for coronavirus,,The Texas Tribune,,,,Left-Center,26,"July 18, 2021",TRUE,,,,
"A beacon to the world': One year after John Lewis' death, Navy christens ship in his honor",,USA TODAY,,,,Left-Center,27,"July 18, 2021",FALSE,,,,
The political turmoil in Haiti has deep historical roots,,Yahoo! News,,,,Left-Center,28,"July 18, 2021",FALSE,,,,
"In A Belgian City Ravaged By Flooding, The Signs Of Disaster Are Everywhere",,NPR,46.41,-5.24,"38,240,000",Left-Center,29,"July 18, 2021",FALSE,,,,
Vienna Is The New Havana Syndrome Hot Spot,,The New Yorker,40.13,-13.3,"19,425,000",Left,30,"July 18, 2021",FALSE,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
Still looking for answers': South Africa reels from deadly riots,,Al Jazeera,,,,Left-Center,1,"July 19, 2021",TRUE,,,,
"Indiana University's vaccine requirement should stand, federal judge rules",,NPR,46.41,-5.24,"38,240,000",Left-Center,2,"July 19, 2021",TRUE,,,,
Mask mandates make a return - along with controversy,,The Washington Post,44.05,-7.42,"76,195,000",Left-Center,3,"July 19, 2021",TRUE,,,,
"Sprawling Oregon blaze expands, while firefighters gain ground",,Reuters,49.3,-1.65,"40,574,000",Neutral,4,"July 19, 2021",TRUE,,,,
COVID-19 worries ripple through markets,,The Wall Street Journal,46.32,4.92,"39,430,000",Right-Center,5,"July 19, 2021",TRUE,,,,
Wind and lightning complicate Bootleg fire as 80 blazes burn across 13 states,,The Guardian,44.42,-9.93,"88,750,000",Left-Center,6,"July 19, 2021",TRUE,,,,
Infrastructure deal in precarious state as endgame nears,,The Washington Post,44.05,-7.42,"76,195,000",Left-Center,7,"July 19, 2021",TRUE,,,,
Peru socialist Castillo confirmed president after lengthy battle over results,,Reuters,49.3,-1.65,"40,574,000",Neutral,8,"July 19, 2021",TRUE,,,,
Delta Variant Helps Push Covid-19 Cases Higher In Every State,,The Wall Street Journal,46.32,4.92,"39,430,000",Right-Center,9,"July 19, 2021",TRUE,,,,
"Only nature, through significant rain or snow, can extinguish huge Oregon fire, official says",,The Washington Post,44.05,-7.42,"76,195,000",Left-Center,10,"July 19, 2021",TRUE,,,,
State Department raises travel advisory for the UK to its highest level as Covid-19 cases rise,,CNN,43.77,-8.78,"79,900,000",Left,11,"July 19, 2021",TRUE,,,,
This is who I am': Predators prospect Luke Prokop comes out,,The Athletic,,,,Unknown,12,"July 19, 2021",TRUE,,,,
U.S. issues 'Do Not Travel' advisory for UK over COVID-19,,Reuters,49.3,-1.65,"40,574,000",Neutral,13,"July 19, 2021",TRUE,,,,
Dow futures drop more than 100 points after major averages post first negative week in four,,CNBC,45.45,-2.05,"27,050,000",Left-Center,14,"July 19, 2021",FALSE,,,,
"Nashville Predators prospect Luke Prokop says he is gay, hopes living 'authentic life' helps NHL career",,ESPN,,,,Left-Center,15,"July 19, 2021",TRUE,,,,
It's Not a Border Crisis. It's a Climate Crisis.,,Politico,43.35,-7.19,"23,750,000",Left-Center,16,"July 19, 2021",TRUE,,,,
"Fires in Oregon, California Grow as Heat Wave Continues in Parts of West",,The Wall Street Journal,46.32,4.92,"39,430,000",Right-Center,17,"July 19, 2021",TRUE,,,,
"In the fracturing American economy, any house can inspire a bidding war",,The Washington Post,44.05,-7.42,"76,195,000",Left-Center,18,"July 19, 2021",TRUE,,,,
How Delta is pushing the U.S. into a new phase of the Covid-19 pandemic,,STAT,44.86,-2.7,,Left-Center,19,"July 19, 2021",TRUE,,,,
Canada to reopen its border for fully vaccinated Americans starting Aug. 9; U.S. uncertain,,The Bellingham Herald,,,,Left-Center,20,"July 19, 2021",TRUE,,,,
Biden recasts criticism of Facebook over vaccine misinformation,,Politico,43.35,-7.19,"23,750,000",Left-Center,21,"July 19, 2021",TRUE,,,,
"US blames China for hacks, opening new front in cyber offensive",,CNN,43.77,-8.78,"79,900,000",Left,22,"July 19, 2021",TRUE,,,,
Florida man gets 9 months in prison in 1st felony sentence from Capitol riot,,NBC News,45.81,-7.46,"26,225,000",Left Center,23,"July 19, 2021",TRUE,,,,
Dow Falls More Than 700 Points in Worst Day Since October,,The Wall Street Journal,46.32,4.92,"39,430,000",Right-Center,24,"July 19, 2021",TRUE,,,,
Alternate on US women's gymnastics team tests positive for COVID-19,,USA Today,45.77,-4.12,"44,075,000",Left-Center,25,"July 19, 2021",TRUE,,,,
Haiti's acting prime minister Claude Joseph says he will step down amid leadership dispute,,The Washington Post,44.05,-7.42,"76,195,000",Left-Center,26,"July 19, 2021",TRUE,,,,
U.S. Attorney General issues broad ban against seizing media records,,Reuters,49.3,-1.65,"40,574,000",Neutral,27,"July 19, 2021",TRUE,,,,
"To Flee, or to Stay Until the End and Be Swallowed by the Sea",,Inside Climate News,,,,Left-Center,28,"July 19, 2021",TRUE,,,,
Biden Administration Blames Hackers Tied to China for Microsoft Cyberattack Spree,,The Wall Street Journal,46.32,4.92,"39,430,000",Right-Center,29,"July 19, 2021",TRUE,,,,
Statistics show the stark risks of not getting vaccinated against COVID-19,,ABC News,,,,Left-Center,30,"July 19, 2021",TRUE,,,,
,,,,,,,,,,,,,
Bucks finish off Suns for first NBA championship in 50 years behind Giannis Antetokounmpo's epic closeout performance,,USA Today,45.77,-4.12,"44,075,000",Left-Center,1,"July 20, 2021",TRUE,,,,
"USWNT kicks off Olympics run vs. Sweden: Preview, start time, how to watch",,NBC Sports,,,,Left-Center,2,"July 20, 2021",TRUE,,,,
Western wildfire smoke causes cross-country air pollution,,Reuters,49.3,-1.65,"40,574,000",Neutral,3,"July 20, 2021",TRUE,,,,
"Giannis Antetokounmpo scores 50 points in Game 6 of NBA Finals, Milwaukee Bucks win club's 1st NBA title since 1971\n",,ESPN,,,,Left-Center,4,"July 20, 2021",TRUE,,,,
Trump adviser Tom Barrack arrested on foreign-agent charges,,Politico,43.35,-7.19,"23,750,000",Left-Center,5,"July 20, 2021",TRUE,,,,
Local health authorities seek to curb Delta variant without new rules,,The Wall Street Journal,46.32,4.92,"39,430,000",Right-Center,6,"July 20, 2021",TRUE,,,,
Biden's bipartisan infrastructure bill hits snag as GOP pushes to delay vote,,USA Today,45.77,-4.12,"44,075,000",Left-Center,7,"July 20, 2021",TRUE,,,,
"Trump ally tried to use influence to help UAE, prosecutors allege",,The Washington Post,44.05,-7.42,"76,195,000",Left-Center,8,"July 20, 2021",TRUE,,,,
"The Bootleg Fire in Oregon is so large, it's creating its own weather",,CNN,43.77,-8.78,"79,900,000",Left,9,"July 20, 2021",TRUE,,,,
COVID Warnings From Washington Rise With The Uptick In Cases Around The Country,,NPR,46.41,-5.24,"38,240,000",Left-Center,10,"July 20, 2021",TRUE,,,,
Olympic softball: Meet the six teams going for gold,,NBC Sports,,,,Left-Center,11,"July 20, 2021",TRUE,,,,
Nothing short of historic.' Congress holds first hearing after Cuba protests,,Miami Herald,46.7,-3.86,,Left-Center,12,"July 20, 2021",TRUE,,,,
Trump Ally Tom Barrack Is Charged With Acting as U.A.E. Foreign Agent,,The Wall Street Journal,46.32,4.92,"39,430,000",Right-Center,13,"July 20, 2021",TRUE,,,,
Extreme fire behavior has erupted in the West. Here's what that means.,,The Washington Post,44.05,-7.42,"76,195,000",Left-Center,14,"July 20, 2021",TRUE,,,,
Senate infrastructure talks may stretch into next week as failed vote looms,,Politico,43.35,-7.19,"23,750,000",Left-Center,15,"July 20, 2021",TRUE,,,,
India's excess deaths during Covid 'could be 10 times official toll',,The Guardian,44.42,-9.93,"88,750,000",Left-Center,16,"July 20, 2021",TRUE,,,,
We lost': Some U.S. veterans say blood spilled in Afghanistan was wasted,,Reuters,49.3,-1.65,"40,574,000",Neutral,17,"July 20, 2021",TRUE,,,,
"Don't be fooled into letting your guard down against Covid, US Surgeon General says",,CNN,43.77,-8.78,"79,900,000",Left,18,"July 20, 2021",TRUE,,,,
Why a new law requiring Asian American history in schools is so significant,,Vox,39.97,-11.26,"13,948,400",Left,19,"July 20, 2021",TRUE,,,,
Massive Bootleg Fire burns in Oregon as officials seek outside help; smoke seen as far as New York,,USA Today,45.77,-4.12,"44,075,000",Left-Center,20,"July 20, 2021",TRUE,,,,
"Staffers in White House, Pelosi's office test positive for coronavirus",,The Hill,44.99,-0.38,"24,400,000",Neutral,21,"July 20, 2021",TRUE,,,,
The 2021 Olympics Are Turning Into a $20 Billion Bust for Japan,,The Wall Street Journal,46.32,4.92,"39,430,000",Right-Center,22,"July 20, 2021",TRUE,,,,
Blue Origin successfully sends Jeff Bezos and three others to space and back,,The Verge,44.07,-4.77,"17,217,400",Left-Center,23,"July 20, 2021",TRUE,,,,
"Delta variant surges to 83% of sequences Covid-19 cases in the U.S., CDC says",,STAT,44.86,-2.7,,Left-Center,24,"July 20, 2021",TRUE,,,,
"Wildfires in the West balloon in size amid heat and drought, prompting evacuations",,Axios,46.38,-4.45,"3,613,000",Left-Center,25,"July 20, 2021",TRUE,,,,
States are sitting on millions of surplus Covid-19 vaccine doses as expiration dates approach,,STAT,44.86,-2.7,,Left-Center,26,"July 20, 2021",TRUE,,,,
Unlikely Senate alliance aims to claw back Congress' foreign policy powers 'before it's too late',,Politico,43.35,-7.19,"23,750,000",Left-Center,27,"July 20, 2021",TRUE,,,,
This deaf-blind Paralympian was told to navigate Tokyo alone. So she quit Team USA.,,The Washington Post,44.05,-7.42,"76,195,000",Left-Center,28,"July 20, 2021",TRUE,,,,
Blue Origin launch recap: Jeff Bezos soars to the edge of space,,ABC News,47.28,-4.9,"39,500,000",Left-Center,29,"July 20, 2021",TRUE,,,,
Still looking for answers': South Africa reels from deadly riots,,Aljazeera,,,,Left-Center,30,"July 20, 2021",TRUE,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
Olympics-Opening ceremony director fired on Tokyo Games eve over Holocaust joke,,Reuters,49.3,-1.65,"40,574,000",Neutral,1,"July 21, 2021",TRUE,,,,
"Smoke from California's wildfires could contain dangerous levels of  toxic metals, new research shows",,San Francisco Chronicle,,,,Left-Center,2,"July 21, 2021",TRUE,,,,
What Vaccinated People Should Really Know About the Delta Variant's Threat to Them,,Slate,,,,Left ,3,"July 21, 2021",TRUE,,,,
US extends Covic-19 travel restrictions with Canada and Mexico through August 21,,CNN,43.77,-8.78,"79,900,000",Left,4,"July 21, 2021",TRUE,,,,
Biden pleads with unvaccinated Americans to be inoculated as virus surges,,The Washington Post,44.05,-7.42,"76,195,000",Left-Center,5,"July 21, 2021",TRUE,,,,
Authorities in Cuba begin to punish young protesters in summary trials,,Miami Herald,46.7,-3.86,,Left-Center,6,"July 21, 2021",TRUE,,,,
States reach $26 billion deal with three wholesalers and J&J to end opiod lawsuits,,STAT,44.86,-2.7,,Left-Center,7,"July 21, 2021",TRUE,,,,
"Republicans block debate on indrastructure bill, but final deal could solidify within days",,The Washington Post,44.05,-7.42,"76,195,000",Left-Center,8,"July 21, 2021",TRUE,,,,
States anounch $26 Billion Settlement to Resolve Opioid Lawsuits,,The Wall Street Journal,46.32,4.92,"39,430,000",Right-Center,9,"July 21, 2021",TRUE,,,,
Heat waves are dangerous. Isolation and inequality make them deadly.,,The Washington Post,44.05,-7.42,"76,195,000",Left-Center,10,"July 21, 2021",TRUE,,,,
Infrastructure bill blocked by Senate Republicans as lawmakers haggle over details,,USA Today,45.77,-4.12,"44,075,000",Left-Center,11,"July 21, 2021",TRUE,,,,
Companies in Main will now have to pay to help fix the broken recycling system,,Fast Company,,,,Left-Center,12,"July 21, 2021",FALSE,,,,
McCarthy pulls five Republicans from Capitol attack panel after Pelosi rejects two,,The Guardian,44.42,-9.93,"88,750,000",Left-Center,13,"July 21, 2021",TRUE,,,,
GOP blocks infrastructure debate as negotiators near deal,,The Hill,44.99,-0.38,"24,400,000",Neutral,14,"July 21, 2021",TRUE,,,,
"Republicans abandon Capitol riot probe after Pelosi rejects Jordan, Banks",,Reuters,49.3,-1.65,"40,574,000",Neutral,15,"July 21, 2021",TRUE,,,,
4 drug companies agree to pay $26 billion to resolve opioid lawsuits,,NBC News,45.81,-7.46,"26,225,000",Left Center,16,"July 21, 2021",TRUE,,,,
McCarthy says Republicans will pull out of Jan. 6 committee unless Pelosi reverses decision,,Reuters,49.3,-1.65,"40,574,000",Neutral,17,"July 21, 2021",TRUE,,,,
"For unvaccinated, coronavirus is soaring again",,The Washington Post,44.05,-7.42,"76,195,000",Left-Center,18,"July 21, 2021",TRUE,,,,
California couple whose gender-reveal party sparked a wildfire charged with 30 crimes,,The Guardian,44.42,-9.93,"88,750,000",Left-Center,19,"July 21, 2021",TRUE,,,,
McCarthy pulls his 5 GOP members from 1/6 committee after Pelosi rejects 2 of his picks,,CNN,43.77,-8.78,"79,900,000",Left,20,"July 21, 2021",TRUE,,,,
Infrastructure vote fails as senators try to salvage bipartisan deal,,Politico,43.35,-7.19,"23,750,000",Left-Center,21,"July 21, 2021",TRUE,,,,
"Thick smoke from Western wildfires is traveling thousands of miles, clouding NYC skies",,USA Today,45.77,-4.12,"44,075,000",Left-Center,22,"July 21, 2021",TRUE,,,,
Olympians Had to Train During a Pandemic. These Are Their Weirdest Stories.,,The Wall Street Journal,46.32,4.92,"39,430,000",Right-Center,23,"July 21, 2021",TRUE,,,,
Covid-19 Takes Dramatic Toll on U.S. Life Expectancy,,Bloomberg,45.76,-3.04,"26,673,500",Left-Center,24,"July 21, 2021",TRUE,,,,
Biden's Bipartisan Infrastructure Package Fails A Test Vote In The Senate,,NPR,46.41,-5.24,"38,240,000",Left-Center,25,"July 21, 2021",TRUE,,,,
"Giannis Antetokounmpo scores 50 points in Game 6 of NBA Finals, Milwaukee Bucks win club's 1st NBA title since 1971",,ESPN,,,,Left-Center,26,"July 21, 2021",FALSE,,,,
At least 25 dead as rains deluge central China's Henan providence,,Reuters,49.3,-1.65,"40,574,000",Neutral,27,"July 21, 2021",FALSE,,,,
U.S. women thrashed by Sweden in stunning Olympic defeat,,NBC Sports,,,,Left-Center,28,"July 21, 2021",TRUE,,,,
"Going furthur than CDC, pediatricians group recommends masks in schools even for the vaccinated",,The Washington Post,44.05,-7.42,"76,195,000",Left-Center,29,"July 21, 2021",FALSE,,,,
U.S. women's soccer team stunned by Sweden in opener,,NBC News,45.81,-7.46,"26,225,000",Left Center,30,"July 21, 2021",TRUE,,,,
,,,,,,,,,,,,,
Is Cuba's communist party finally losing its hold on the country?,,The New Yorker,40.13,-13.3,"19,425,000",Left,1,"July 22, 2021",TRUE,,,,
They lost loved ones to gun violence. Then their grief was politicized,,The Guardian,44.42,-9.93,"88,750,000",Left-Center,2,"July 22, 2021",TRUE,,,,
Extreme heat triggers mass die-offs and stress for wildlife in the West,,National Geographic,46.11,-2.58,,Pro-Science,3,"July 22, 2021",TRUE,,,,
We’re Zeroing In On the ‘Holy Grail’ of COVID-19 Immunity,,The Atlantic,40.14,-9.52,"16,075,000",Left-Center,4,"July 22, 2021",FALSE,,,,
Public Health Experts Call On CDC To Change Its Mask Guidance,,NPR,46.41,-5.24,"38,240,000",Left-Center,5,"July 22, 2021",TRUE,,,,
"Striking To End 'Suicide Shifts,' Frito-Lay Workers Ask People To Drop The Doritos",,NPR,46.41,-5.24,"38,240,000",Left-Center,6,"July 22, 2021",FALSE,,,,
CDC warns this is pivotal moment in fight against delta variant,,The Washington Post,44.05,-7.42,"76,195,000",Left-Center,7,"July 22, 2021",TRUE,,,,
"Wildfires have erupted across the globe, scorching places that rarely burned before",,CNN,43.77,-8.78,"79,900,000",Left,8,"July 22, 2021",TRUE,,,,
"2 wounded in Washington, D.C., shooting near restaurants",,CBS News,48.04,-3.14,"24,400,000",Left-Center,9,"July 22, 2021",TRUE,,,,
House passes bill to streamline visa process for Afghans who helped US,,The Hill,44.99,-0.38,"24,400,000",Neutral,10,"July 22, 2021",TRUE,,,,
Mississippi asks Supreme Court to overturn Roe v. Wade,,Politico,43.35,-7.19,"23,750,000",Left-Center,11,"July 22, 2021",TRUE,,,,
"Caught Between U.S. Policies and Instability at Home, Haitian Migrants in Tijuana Are in a State of Limbo",,TIME,44.02,-9.68,"38,825,000",Left-Center,12,"July 22, 2021",TRUE,,,,
The common cold was rare during 2020 — but it’s having a resurgence,,The Verge,44.07,-4.77,"17,217,400",Left-Center,13,"July 22, 2021",TRUE,,,,
White House boosts funding for Covid tests as infections continue to surge,,NBC News,45.81,-7.46,"26,225,000",Left-Center,14,"July 22, 2021",TRUE,,,,
‘Nowhere is safe’: heat shatters vision of Pacific north-west as climate refuge,,The Guardian,44.42,-9.93,"88,750,000",Left-Center,15,"July 22, 2021",TRUE,,,,
Mississippi asks Supreme Court to overturn Roe v. Wade in upcoming case,,The Washington Post,44.05,-7.42,"76,195,000",Left-Center,16,"July 22, 2021",TRUE,,,,
"Biden condemns crackdown on protesters, orders sanctions against head of Cuban military",,Miami Herald,46.7,-3.86,,Left-Center,17,"July 22, 2021",TRUE,,,,
You Adopted A Pandemic Pet. Now You're Going Back To The Office. What Next?,,NPR,46.41,-5.24,"38,240,000",Left-Center,18,"July 22, 2021",TRUE,,,,
U.S. sanctions Cuban officials over crackdown on protests as Biden warns: 'This is just the beginning',,CNBC,45.45,-2.05,"27,050,000",Left-Center,19,"July 22, 2021",TRUE,,,,
"COVID cases are surging, and it's not because of ""breakthrough"" infections",,AXIOS,46.38,-4.45,"3,613,000",Left-Center,20,"July 22, 2021",TRUE,,,,
Simone Biles shows off Yurchenko double pike at Olympic podium training,,NBC Sports,45.81,-7.46,"26,225,000",Left-Center,21,"July 22, 2021",TRUE,,,,
Biden appoints special envoy to Haiti with an eye toward elections this year,,McClatchy,,,,Left-Center,22,"July 22, 2021",TRUE,,,,
"In America's least air-conditioned cities, brutal heat changes some peoples minds",,The Washington Post,44.05,-7.42,"76,195,000",Left-Center,23,"July 22, 2021",TRUE,,,,
Where do you go after 31 years in prison? He went to Walmart and brought his subscribers,,NBC News,45.81,-7.46,"26,225,000",Left-Center,24,"July 22, 2021",TRUE,,,,
Biden administration releases COVID funds to boost local economies,,Reuters,49.3,-1.65,"40,574,000",Neutral,25,"July 22, 2021",TRUE,,,,
Tokyo Olympics Opening Ceremony director ousted for Holocaust jokes,,Yahoo Sports,42.71,-6.6,,Left-Center,26,"July 22, 2021",FALSE,,,,
Hedge funds are outbidding first-time homebuyers by tens of thousands,,NBC News,45.81,-7.46,"26,225,000",Left-Center,27,"July 22, 2021",FALSE,,,,
‘Where Is the Money?’: Millions Risk Eviction Over Delayed U.S. Aid,,Bloomberg,45.76,-3.04,"26,673,500",Left-Center,28,"July 22, 2021",TRUE,,,,
Biden predicts restaurants and businesses will be 'in a bind' for some time due to labor shortages,,CNN Politics,43.77,-8.78,"79,900,000",Left,29,"July 22, 2021",TRUE,,,,
Olympics-Opening ceremony director fired on Tokyo Games eve over Holocaust joke,,Reuters,49.3,-1.65,"40,574,000",Neutral,30,"July 22, 2021",FALSE,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
"Jackie Mason, rabbi turned contentious comedian, has died at 93",,The Hollywood Reporter,,,,Left-Center,1,"July 24, 2021",TRUE,,,,
Afghanistan curfew imposed as Taliban militants advance,,BBC News,46.44,-2.74,"189,750,000",Left-Center,2,"July 24, 2021",TRUE,,,,
Four Months Ago They Were Celcebrating. Now Texas Doctors Are Once Again Preparing for the Worst.,,Texas Monthly,,,,Left-Center,3,"July 24, 2021",TRUE,,,,
"Amid summer of fire and floods, a moment of truth for climate action",,The Washington Post,44.05,-7.42,"76,195,000",Left-Center,4,"July 24, 2021",TRUE,,,,
As it happened: U.S. wins six medals in first night of swimming finals,,NBC Sports,45.81,-7.46,"26,225,000",Left-Center,5,"July 24, 2021",TRUE,,,,
"Chase Kalisz swims to gold, earns Team USA's first metal in Tokyo",,NBC Sports,45.81,-7.46,"26,225,000",Left-Center,6,"July 24, 2021",TRUE,,,,
Rebel' Skateboarding Is Ready For Its Olympic Debut in Tokyo,,NPR,46.41,-5.24,"38,240,000",Left-Center,7,"July 24, 2021",FALSE,,,,
"In China, Zhengzhou mops up but other cities prepare for In-fa flood havoc to come",,South Korea Morning Post,,,,,8,"July 24, 2021",TRUE,,,,
Murders are up. Crime is not. What's going on?,,Vox,39.97,-11.26,"13,948,400",Left,9,"July 24, 2021",FALSE,,,,
Surge of covid delta variant poses new political threat to Biden and his agenda,,The Washington Post,44.05,-7.42,"76,195,000",Left-Center,10,"July 24, 2021",TRUE,,,,
The five largest burning wildfires in the U.S.,,CBS News,48.04,-3.14,"24,400,000",Left-Center,11,"July 24, 2021",TRUE,,,,
