Top Stories,Article,Publication,Reliability Range (Interactive MB),Bias Range (Interactive MB),Audience (Interactive MB),MB/FC Slant,Rank Number,Date Recorded,Within 24 hours?,,Factual Reporting,,(probably not needed)
Atlantic City Is Just The Latest Place To Shut Down Its Needle Exchange Amid A Deadly Rise In US Overdose Deaths,,Buzzfeed News,43.3,-8.17,"11,060,000",Left-Center,12,"July 24, 2021",FALSE,,,,
Team USA goes medal-less in Day 1 of Summer Olympics for first time in 49 years,,Yahoo Sports,42.71,-6.6,,Left-Center,13,"July 24, 2021",TRUE,,,,
Team USA qualifies fourth for men's gymnastics final in Tokyo,,NBC Sports,45.81,-7.46,"26,225,000",Left-Center,14,"July 24, 2021",TRUE,,,,
Heart-wretching': inside a hospital grappling with Delta and vaccine hesitancy,,The Guardian,44.42,-9.93,"88,750,000",Left-Center,15,"July 24, 2021",TRUE,,,,
Anatomy of a monster: How the Dixie fire became California's biggest of the year,,Los Angeles Times,46.04,-7.27,"15,765,000",Left-Center,16,"July 24, 2021",TRUE,,,,
Vatican reveals property holdings for first time in transparency drive,,Reuters,49.3,-1.65,"40,574,000",Neutral,17,"July 24, 2021",TRUE,,,,
Thousands join Pride event in Hungary as LGBTQ people face growing hostility,,CNN,43.77,-8.78,"79,900,000",Left,18,"July 24, 2021",TRUE,,,,
USWNT rebounds from loss with 6-1 win over New Zealand,,NBC Sports,45.81,-7.46,"26,225,000",Left-Center,19,"July 24, 2021",TRUE,,,,
Florida leads U.S. in COVID-19 cases as hospitalizations surge,,The Wall Street Journal,46.32,4.92,"39,430,000",Right-Center,20,"July 24, 2021",TRUE,,,,
Wildfire smoke blowing across the U.S. is more toxic than we thought,,National Geographic,46.11,-2.58,,Pro-Science,21,"July 24, 2021",TRUE,,,,
"More than 130 dead in India as rain trigger floods, landslides",,CNN,43.77,-8.78,"79,900,000",Left,22,"July 24, 2021",TRUE,,,,
The baby was gravely ill. Rapid sequencing turned around a diagnosis in 13 hours - and pointed to a treatment,,STAT,44.86,-2.7,,Left-Center,23,"July 24, 2021",FALSE,,,,
Tokyo Olympics Day 1 Roundup: U.S. still seeking first medal,,NBC Sports,45.81,-7.46,"26,225,000",Left-Center,24,"July 24, 2021",TRUE,,,,
"""Patience has worn thin"": Frustration mounts over vaccine holdouts",,The Washington Post,44.05,-7.42,"76,195,000",Left-Center,25,"July 24, 2021",TRUE,,,,
Stonehenge may lose world heritage status,,The Guardian,44.42,-9.93,"88,750,000",Left-Center,26,"July 24, 2021",FALSE,,,,
"Althletes react as tradition, modern spectacle converge at 2020 Tokyo Olympic Games Opening Ceremony",,NBC Sports,45.81,-7.46,"26,225,000",Left-Center,27,"July 24, 2021",FALSE,,,,
"Haiti's Slain President's Funeral Marked by Rage, Protests",,The Wall Street Journal,46.32,4.92,"39,430,000",Right-Center,28,"July 24, 2021",TRUE,,,,
"Oregon communities struggle to hold off the Bootleg fire, the largest blaze in the U.S.",,Los Angeles Times,,,,Left-Center,29,"July 24, 2021",TRUE,,,,
Photos: Highlights Of The Tokyo Summer Olympics Opening Ceremony,,NPR,46.41,-5.24,"38,240,000",Left-Center,30,"July 24, 2021",FALSE,,,,
,,,,,,,,,,,,,
The Delta Variant Upends the World’s Pandemic Response,,The Wall Street Journal,46.32,4.92,"39,430,000",Right-Center,1,"July 25, 2021",TRUE,,,,
Summer Olympics 2021: What to Watch for on Day 3 in Tokyo,,Bleacher Report,,,,Left-Center,2,"July 25, 2021",TRUE,,,,
"Devastating': Dixie Fire, California's largest wildfire, devours multiple homes",,SF Gate,46.06,-1.52,"8,684,700",Left-Center,3,"July 25, 2021",TRUE,,,,
"Bob Moses, 1960s civil rights leader who saw math as road to eqality, dies at 86",,The Washington Post,44.05,-7.42,"76,195,000",Left-Center,4,"July 25, 2021",TRUE,,,,
"At 101, judo coaching great Yosh Uchida still isn’t done helping Olympians",,Los Angeles Times,46.04,-7.27,"15,765,000",Left-Center,5,"July 25, 2021",TRUE,,,,
Pelosi taps Kinzinger to serve on Jan. 6 panel,,The Hill,44.99,-0.38,"24,400,000",Neutral,6,"July 25, 2021",TRUE,,,,
"In Alabama and Louisiana, partisan opposition to vaccine surges alongside Delta variant",,Politico,43.35,-7.19,"23,750,000",Left-Center,7,"July 25, 2021",FALSE,,,,
California's largest wildfire forces evacuations amid rapid spread,,ABC News,47.28,-4.9,"39,500,000",Left-Center,8,"July 25, 2021",TRUE,,,,
"Robert Moses, influential civil rights figure and FIU professor, dead at 86",,Miami Herald,46.7,-3.86,,Left-Center,9,"July 25, 2021",TRUE,,,,
"U.S. men's basketball stunned by Fournier, France in opener",,NBC Sports,45.81,-7.46,"26,225,000",Left-Center,10,"July 25, 2021",TRUE,,,,
U.S offers further air support to Afghan troops amid Taliban offensive,,Reuters,49.3,-1.65,"40,574,000",Neutral,11,"July 25, 2021",TRUE,,,,
"Wildfires rage in the West, destroy homes in small California community",,FOX News,35.76,14.86,"133,150,00",Right,12,"July 25, 2021",TRUE,,,,
U.S. House Speaker Pelosi names Republican Kinzinger to Jan. 6 panel,,Reuters,49.3,-1.65,"40,574,000",Neutral,13,"July 25, 2021",TRUE,,,,
What will happen to the Surfside building collapse site?,,CNN,43.77,-8.78,"79,900,000",Left,14,"July 25, 2021",TRUE,,,,
Homes destroyed in California as wildfires continue to rage,,NBC News,45.81,-7.46,"26,225,000",Left-Center,15,"July 25, 2021",TRUE,,,,
Team USA falls to France at Tokyo Games for first Olympic men's basketball loss since 2004,,ESPN,,,,Left-Center,16,"July 25, 2021",TRUE,,,,
The Arch Deluxe Was a Hell of a Burger. It Was Also McDonald’s Most Expensive Flop.,,Eater,,,,,17,"July 25, 2021",FALSE,,,,
Tokyo Olympics Day 2 Roundup: Expected and unexpected U.S. medals,,NBC Sports,45.81,-7.46,"26,225,000",Left-Center,18,"July 25, 2021",TRUE,,,,
"The pandemic is 'spiraling out of control' due to unvaccinated people, Trump administration official says",,CNN,43.77,-8.78,"79,900,000",Left,19,"July 25, 2021",TRUE,,,,
Montana Wildfire Fight Draws Help From Other States,,NPR,46.41,-5.24,"38,240,000",Left-Center,20,"July 25, 2021",TRUE,,,,
Why border patrol is doing more to rescue and identify missing immigrants,,Los Angeles Times,46.04,-7.27,"15,765,000",Left-Center,21,"July 25, 2021",TRUE,,,,
"The surprising past, unlikely present, and uncertain future of Christmas in July",,Vox,39.97,-11.26,"13,948,400",Left,22,"July 25, 2021",FALSE,,,,
"Amid summer of fire adn floods, a moment of truth for climate action",,The Washington Post,44.05,-7.42,"76,195,000",Left-Center,23,"July 25, 2021",TRUE,,,,
Four Months Ago They Were Celebrating. Now Texas Doctors Are Once Again Preparing for the Worst.,,Texas Monthly,,,,Left-Center,24,"July 25, 2021",FALSE,,,,
Afghanistan curfew imposed as Taliban militants advance,,BBC News,46.44,-2.74,"189,750,000",Left-Center,25,"July 25, 2021",TRUE,,,,
"Jackie Mason, Rabbi Turned Contentious Comedian, Dies at 93",,The Hollywood Reporter,,,,Left-Center,26,"July 25, 2021",FALSE,,,,
As it happened: U.S. wins six medals in first night of swimming finals,,NBC Sports,45.81,-7.46,"26,225,000",Left-Center,27,"July 25, 2021",FALSE,,,,
"Chase Kalisz swims to gold, earns Team USA's first medal in Tokyo",,NBC Sports,45.81,-7.46,"26,225,000",Left-Center,28,"July 25, 2021",FALSE,,,,
Rebel' Skateboarding Is Ready For Its Olympic Debut in Tokyo,,NPR,46.41,-5.24,"38,240,000",Left-Center,29,"July 25, 2021",FALSE,,,,
"In China, Zhengzhou mops up but other cities prepare for In-fa flood havoc to come",,South China Morning Post,42.15,-3.63,"9,765,000",Left-Center,30,"July 25, 2021",FALSE,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
Naomi Osaka falls in third round shocker to Marketa Vondrousova,,NBC Sports,45.81,-7.46,"26,225,000",Left-Center,1,"July 26, 2021",TRUE,,,,
North and South Korea restore hotline after a year,,BBC News,46.44,-2.74,"189,750,000",Left-Center,2,"July 26, 2021",TRUE,,,,
Extreme weather renews focus on climate change as scientists update forcasts,,Reuters,49.3,-1.65,"40,574,000",Neutral,3,"July 26, 2021",FALSE,,,,
"A tipping point': Government officials, health groups move to require coronavirus vaccine",,The Washington Post,44.05,-7.42,"76,195,000",Left-Center,4,"July 26, 2021",TRUE,,,,
"USA's Lydia Jacoby wins surprise gold in 100m breaststroke, Lilly King takes bronze",,NBC Sports,45.81,-7.46,"26,225,000",Left-Center,5,"July 26, 2021",TRUE,,,,
Shocker in Tokyo: Naomi Osaka upset by Marketa Vondrousova in 3rd round of Olympics,,Yahoo Sports,42.71,-6.6,,Left-Center,6,"July 26, 2021",TRUE,,,,
"Severe breakthrough infections remain very rare, despite rising concerns",,National Geographic,46.11,-2.58,,Pro-Science,7,"July 26, 2021",TRUE,,,,
Infrastructure-bill negotiators try to overcome late hurdles,,The Wall Street Journal,46.32,4.92,"39,430,000",Right-Center,8,"July 26, 2021",TRUE,,,,
Heat wave bringing tripe-digit temperatures from the Pacific to the Gulf Coast this week,,CNN,43.77,-8.78,"79,900,000",Left,9,"July 26, 2021",TRUE,,,,
"Police identify final missing victim from Surfside condo collapse, which killed 98",,Miami Herald,46.7,-3.86,,Left-Center,10,"July 26, 2021",TRUE,,,,
U.S. finishes fifth in men's gymnastics team final for third straight Olympics,,NBC Sports,45.81,-7.46,"26,225,000",Left-Center,11,"July 26, 2021",TRUE,,,,
What it feels like to win your country's first gold in 100 years,,NBC Sports,45.81,-7.46,"26,225,000",Left-Center,12,"July 26, 2021",TRUE,,,,
Experts warn unvaccinated are greatest threat to pandemic recovery,,The Hill,44.99,-0.38,"24,400,000",Neutral,13,"July 26, 2021",TRUE,,,,
New Vaccine Mandates Are Coming For Government Employees And Health Care Workers,,NPR,46.41,-5.24,"38,240,000",Left-Center,14,"July 26, 2021",TRUE,,,,
High-stakes infrastructure talks stall out as deadline passes,,Politico,43.35,-7.19,"23,750,000",Left-Center,15,"July 26, 2021",TRUE,,,,
Covid-19 Vaccine Mandates Imposed on Some Government Workers,,The Wall Street Journal,46.32,4.92,"39,430,000",Right-Center,16,"July 26, 2021",TRUE,,,,
"Climate Scientists Meet As Flood, Fires, Droughts And Heat Waves Batter Countries",,NPR,46.41,-5.24,"38,240,000",Left-Center,17,"July 26, 2021",TRUE,,,,
Final victim in condo collapse identified as death toll rises to 98,,CBS News,48.04,-3.14,"24,400,000",Left-Center,18,"July 26, 2021",TRUE,,,,
Biden administration says long Covid can be considered a disability under law,,Politico,43.35,-7.19,"23,750,000",Left-Center,19,"July 26, 2021",TRUE,,,,
US concludes combat mission in Iraq as Biden meets with Iraqi prime minister,,ABC News,47.28,-4.9,"39,500,000",Left-Center,20,"July 26, 2021",TRUE,,,,
"Dixie fire scorches nearly 200,000 acres, doubling in size in days",,Los Angeles Times,46.04,-7.27,"15,765,000",Left-Center,21,"July 26, 2021",TRUE,,,,
Dynasties damaged: Team USA has a fight on its hands,,Yahoo Sports,42.71,-6.6,,Left-Center,22,"July 26, 2021",TRUE,,,,
"California wildfires: More 'extreme' activity pushes Dixie Fire close to 200,000 acres",,The Sacramento Bee,,,,Left-Center,23,"July 26, 2021",TRUE,,,,
Tunisia's democracy is rocked as president sacks parliament amid Covid crisis,,CNBC,45.45,-2.05,"27,050,000",Left-Center,24,"July 26, 2021",TRUE,,,,
"U.S. will not lift travel restrictions, citing Delta variant -White House",,Reuters,49.3,-1.65,"40,574,000",Neutral,25,"July 26, 2021",TRUE,,,,
A new way to visualize the surge in Covid-19 cases in the U.S.,,STAT,44.86,-2.7,,Left-Center,26,"July 26, 2021",TRUE,,,,
"Northern California wildfires merge, forcing more from their homes",,Los Angeles Times,46.04,-7.27,"15,765,000",Left-Center,27,"July 26, 2021",TRUE,,,,
Cuba protesters in Washington want President Biden to do more to pressure the regime,,Miami Herald,46.7,-3.86,,Left-Center,28,"July 26, 2021",TRUE,,,,
Tokyo Olympics Day 3 Roundup: Pool thrillers and a skeet sweep,,NBC Sports,45.81,-7.46,"26,225,000",Left-Center,29,"July 26, 2021",TRUE,,,,
"Afghanistan civilian casualty figures at record high, UN says",,The Guardian,44.42,-9.93,"88,750,000",Left-Center,30,"July 26, 2021",FALSE,,,,
,,,,,,,,,,,,,
A medieval battle': Officers reveal horrors they faced defending Capitol on Jan. 6,,Politico,43.35,-7.19,"23,750,000",Left-Center,1,"July 27, 2021",TRUE,,,,
"Wildfires are increasing health risks of already-polluted regions of the U.S., experts warn",,PBS Newshour,,,,Left-Center,2,"July 27, 2021",TRUE,,,,
Coup' in Tunisia: Why Arab Spring's last light is dimming,,The Christian Science Monitor,,,,Neutral,3,"July 27, 2021",TRUE,,,,
"With Simone Biles out, U.S. women's gymnastics team wins silver behind Russian Olympic Committee",,NBC Sports,45.81,-7.46,"26,225,000",Left-Center,4,"July 27, 2021",TRUE,,,,
Simone Biles explains exit from women's team final,,NBC Sports,45.81,-7.46,"26,225,000",Left-Center,5,"July 27, 2021",TRUE,,,,
CDC recommends masks indoors even for some vaccinated against Covid-19,,STAT,44.86,-2.7,,Left-Center,6,"July 27, 2021",TRUE,,,,
Federal employees will soon need to be vaccinated or regularly tested,,The Washington Post,44.05,-7.42,"76,195,000",Left-Center,7,"July 27, 2021",TRUE,,,,
More 'good fire' could help California control future catastrophes,,National Geographic,46.11,-2.58,,Pro-Science,8,"July 27, 2021",TRUE,,,,
"As Dixie fire doubles in size, monsoon weather brings new threats",,Los Angeles Times,46.04,-7.27,"15,765,000",Left-Center,9,"July 27, 2021",TRUE,,,,
Why Workplace Covid-19 Vaccine Mandates Aren't Widespread -- Yet,,The Wall Street Journal,46.32,4.92,"39,430,000",Right-Center,10,"July 27, 2021",TRUE,,,,
CDC changes mask guidance in response to threat of Delta variant of Covid-19,,CNN,43.77,-8.78,"79,900,000",Left,11,"July 27, 2021",TRUE,,,,
"This is how I'm going to die': At Jan. 6 hearing, officers tell of harrowing attacks",,USA Today,45.77,-4.12,"44,075,000",Left-Center,12,"July 27, 2021",TRUE,,,,
Atlanta-Area Spa Shooter Pleads Guilty in Deal with Prosecutor,,The Wall Street Journal,46.32,4.92,"39,430,000",Right-Center,13,"July 27, 2021",TRUE,,,,
Officers give emotional testimony at Capitol riot hearing,,CBS News,48.04,-3.14,"24,400,000",Left-Center,14,"July 27, 2021",TRUE,,,,
"Simone Biles withdraws, and U.S. gymnastics team settles for silver",,The Washington Post,44.05,-7.42,"76,195,000",Left-Center,15,"July 27, 2021",TRUE,,,,
"Mask mandates reimposed locally in defiance of state, CDC as cases rise",,ABC News,47.28,-4.9,"39,500,000",Left-Center,16,"July 27, 2021",TRUE,,,,
Simone Biles pulled out of the Olympic gymnastics team final in Tokyo,,NBC Sports,45.81,-7.46,"26,225,000",Left-Center,17,"July 27, 2021",TRUE,,,,
"USWNT held by Australia, reach Olympic quarterfinals",,NBC Sports,45.81,-7.46,"26,225,000",Left-Center,18,"July 27, 2021",TRUE,,,,
Hong Kong: First person charged under national security law found guilty,,BBC News,46.44,-2.74,"189,750,000",Left-Center,19,"July 27, 2021",TRUE,,,,
Five things to watch as Jan. 6 panel begins its work,,The Hill,44.99,-0.38,"24,400,000",Neutral,20,"July 27, 2021",TRUE,,,,
Naomi Osaka knocked out of the Games in third round shocker,,NBC Sports,45.81,-7.46,"26,225,000",Left-Center,21,"July 27, 2021",TRUE,,,,
Alaskan teen stuns swimming world with surprise gold,,NBC Sports,45.81,-7.46,"26,225,000",Left-Center,22,"July 27, 2021",TRUE,,,,
Mandatory vaccinations for employees reach a 'tipping point',,The Washington Post,44.05,-7.42,"76,195,000",Left-Center,23,"July 27, 2021",TRUE,,,,
Extreme weather renews focus on climate change as scientists update forecasts,,REUTERS,49.3,-1.65,"40,574,000",Neutral,24,"July 27, 2021",TRUE,,,,
North and South Korea restore hotline after a year,,BBC News,46.44,-2.74,"189,750,000",Left-Center,25,"July 27, 2021",TRUE,,,,
Swimming Day 4 roundup: Alaskan swimmer Lydia Jacoby stuns in breaststroke win,,NBC Sports,45.81,-7.46,"26,225,000",Left-Center,26,"July 27, 2021",TRUE,,,,
Shocker in Tokyo: Naomi Osaka upset by Marketa Vondrousova in 3rd round of Olympics,,Yahoo Sports,42.71,-6.6,,Left-Center,27,"July 27, 2021",TRUE,,,,
"Severe breakthrough infections remain very rare, despite rising concerns",,National Geographic,46.11,-2.58,,Pro-Science,28,"July 27, 2021",TRUE,,,,
Infrastructure-Bill Negotiators Try to Overcome Late Hurdles,,The Wall Street Journal,46.32,4.92,"39,430,000",Right-Center,29,"July 27, 2021",TRUE,,,,
Heat wave bringing triple-digit temperatures from the Pacific to the Gulf Coast this week,,CNN,43.77,-8.78,"79,900,000",Left,30,"July 27, 2021",TRUE,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
"Swimming Day 6 roundup: Dressel sprints, Ledecky anchors",,NBC Sports,45.81,-7.46,"26,225,000",Left-Center,1,"July 28, 2021",TRUE,,,,
Whistleblowers detail poor conditions for migrant kids in U.S. tent camp,,CBS News,48.04,-3.14,"24,400,000",Left-Center,2,"July 28, 2021",TRUE,,,,
Extreme weather is upending lives in the West. 'You walk around with this vague sense of terror.',,CNN,43.77,-8.78,"79,900,000",Left,3,"July 28, 2021",TRUE,,,,
"Roads, broadband and bridges: Here's what's in the infrastructure agreement",,USA Today,45.77,-4.12,"44,075,000",Left-Center,4,"July 28, 2021",TRUE,,,,
"CDC reversal on indoor masking prompts experts to ask, 'Where's the data?'",,The Washington Post,44.05,-7.42,"76,195,000",Left-Center,5,"July 28, 2021",TRUE,,,,
"Caeleb Dressel sets Olympic record in 100 free, wins first individual gold",,NBC Sports,45.81,-7.46,"26,225,000",Left-Center,6,"July 28, 2021",TRUE,,,,
Bipartisan Infrastructure Deal Advances in Senate,,The Wall Street Journal,46.32,4.92,"39,430,000",Right-Center,7,"July 28, 2021",TRUE,,,,
Senate votes to take up infrastructure deal,,The Hill,44.99,-0.38,"24,400,000",Neutral,8,"July 28, 2021",TRUE,,,,
What the CDC's 'substantial' and 'high' levels of Covid-19 transmission actually mean,,CNN,43.77,-8.78,"79,900,000",Left,9,"July 28, 2021",TRUE,,,,
Too hot to endure: See how climate change is pushing the human body to the brink,,The Washington Post,44.05,-7.42,"76,195,000",Left-Center,10,"July 28, 2021",TRUE,,,,
Tunisia in turmoil as president purges officials and seizes judical power,,The Guardian,44.42,-9.93,"88,750,000",Left-Center,11,"July 28, 2021",TRUE,,,,
"Swimming Day 6 preview: Caeleb Dressel races 100m freestyle, Ledecky leads U.S. relay",,NBC Sports,45.81,-7.46,"26,225,000",Left-Center,12,"July 28, 2021",TRUE,,,,
"As Biles steps back, more athletes speak up about stress and mental health",,NBC Sports,45.81,-7.46,"26,225,000",Left-Center,13,"July 28, 2021",TRUE,,,,
"At Tokyo Olympics, women athletes say 'enough'",,USA Today,45.77,-4.12,"44,075,000",Left-Center,14,"July 28, 2021",TRUE,,,,
Bipartisan infrastructure deal clears key Senate vote,,Los Angeles Times,46.04,-7.27,"15,765,000",Left-Center,15,"July 28, 2021",TRUE,,,,
What Michael Phelps had to say about Simone Biles's exit,,NBC Sports,45.81,-7.46,"26,225,000",Left-Center,16,"July 28, 2021",FALSE,,,,
The CDC hasn't changed': Biden's top health officials try to sell new masking guidance,,Politico,43.35,-7.19,"23,750,000",Left-Center,17,"July 28, 2021",TRUE,,,,
"Heat dome dominates U.S. weather as a ""derecho"" threat looms in Midwest",,AXIOS,46.38,-4.45,"3,613,000",Left-Center,18,"July 28, 2021",TRUE,,,,
How Suni Lee could win all-around gold,,NBC Sports,45.81,-7.46,"26,225,000",Left-Center,19,"July 28, 2021",TRUE,,,,
CDC mask recommendations have changed again. What's required in your state?,,USA Today,45.77,-4.12,"44,075,000",Left-Center,20,"July 28, 2021",TRUE,,,,
I don't feel any fear going out.' How residents are living in America's most vaccinated state,,CNN,43.77,-8.78,"79,900,000",Left,21,"July 28, 2021",TRUE,,,,
I Need to Call It': Behind Simone Biles's Stunning Olympic Withdrawal,,The Wall Street Journal,46.32,4.92,"39,430,000",Right-Center,22,"July 28, 2021",TRUE,,,,
"Bipartisan group reaches agreement on $1.2 trillion ""hard"" infrastructure bill",,AXIOS,46.38,-4.45,"3,613,000",Left-Center,23,"July 28, 2021",TRUE,,,,
U.S. women stifle ROC to win 3x3 basketball in sport's Olympic debut,,NBC Sports,45.81,-7.46,"26,225,000",Left-Center,24,"July 28, 2021",TRUE,,,,
"NY, LA Among Big Cities Joining Rural Areaas in CDC Mask Zone",,Bloomberg,45.76,-3.04,"26,673,500",Left-Center,25,"July 28, 2021",FALSE,,,,
4 Takeaways From The Emotional 1st Select Committee Hearing On The Capitol Attack,,NPR,46.41,-5.24,"38,240,000",Left-Center,26,"July 28, 2021",TRUE,,,,
Justice Dept: Republican Rep. Mo Brooks may be sued over Jan. 6 speech to Trump supporters,,The Washington Post,44.05,-7.42,"76,195,000",Left-Center,27,"July 28, 2021",TRUE,,,,
"England lifts travel restrictions for vaccinated Americans, Europeans",,The Hill,44.99,-0.38,"24,400,000",Neutral,28,"July 28, 2021",TRUE,,,,
US women's 3-on-3 basketball team makes history with gold medal in sport's Olympic debut,,USA Today,45.77,-4.12,"44,075,000",Left-Center,29,"July 28, 2021",TRUE,,,,
Simone Biles withdraws from individuals all-around final at Tokyo Olympics,,NBC Sports,45.81,-7.46,"26,225,000",Left-Center,30,"July 28, 2021",FALSE,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
Suni Lee joins exclusive club of American Olympic all-around champions,,NBC Sports,45.81,-7.46,"26,225,000",Left-Center,1,"July 29, 2021",TRUE,,,,
Climate change has become real': extreme weather sinks prime US tourism site,,The Guardian,44.42,-9.93,"88,750,000",Left-Center,2,"July 29, 2021",TRUE,,,,
Swimming Day 7 roundup: First swimming world record falls,,NBC Sports,45.81,-7.46,"26,225,000",Left-Center,3,"July 29, 2021",TRUE,,,,
"Biden pushes cash reward to get vaccinated, new rules for federal workers",,REUTERS,49.3,-1.65,"40,574,000",Neutral,4,"July 29, 2021",TRUE,,,,
"House passes Capitol security bill, sending to Biden's desk",,Politico,43.35,-7.19,"23,750,000",Left-Center,5,"July 29, 2021",TRUE,,,,
Broke again': Child tax credit payments collide with debt and eviction for working families,,The Washington Post,44.05,-7.42,"76,195,000",Left-Center,6,"July 29, 2021",TRUE,,,,
Scarlett Johansson Sues Disney Over 'Black Widow' Streaming Release,,The Wall Street Journal,46.32,4.92,"39,430,000",Right-Center,7,"July 29, 2021",TRUE,,,,
Watch the first mixed-gender swimming race in Olympics history,,NBC Sports,45.81,-7.46,"26,225,000",Left-Center,8,"July 29, 2021",TRUE,,,,
House passes $2 billion Capitol security bill in response to insurrection clearing it for Biden's signature,,CNN,43.77,-8.78,"79,900,000",Left,9,"July 29, 2021",TRUE,,,,
Ex-cardinal Theodore McCarrick criminally charged with sexual assault of teenager in the 1970s,,The Washington Post,44.05,-7.42,"76,195,000",Left-Center,10,"July 29, 2021",TRUE,,,,
Biden asks Congress to extend eviction moratorium 'without delay' as expiration looms,,USA Today,45.77,-4.12,"44,075,000",Left-Center,11,"July 29, 2021",TRUE,,,,
Should you be wearing a mask again? Here's a map of the Covid hot spots subject to the CDC's new guidance,,CNBC,45.45,-2.05,"27,050,000",Left-Center,12,"July 29, 2021",FALSE,,,,
228 Republican lawmakers urge Supreme Court to overrule Roe v. Wade,,The Hill,44.99,-0.38,"24,400,000",Neutral,13,"July 29, 2021",TRUE,,,,
Highlights from Suni Lee's stunning gold-medal gymnastics performance,,NBC Sports,45.81,-7.46,"26,225,000",Left-Center,14,"July 29, 2021",TRUE,,,,
Biden ignores the 'shiny objects' and nears a bipartisan win,,Politico,43.35,-7.19,"23,750,000",Left-Center,15,"July 29, 2021",FALSE,,,,
Exclusive recap: Everything you missed on Day 6 in Tokyo,,NBC Sports,45.81,-7.46,"26,225,000",Left-Center,16,"July 29, 2021",TRUE,,,,
Sandy Hook Families Offered $33 Million Settlement by Gun Maker Remington,,The Wall Street Journal,46.32,4.92,"39,430,000",Right-Center,17,"July 29, 2021",FALSE,,,,
Unraveling the Mysterious Mutations That Make Delta the Most Transmissible Covid Virus Yet,,Kaiser Health News,,,,Unknown,18,"July 29, 2021",FALSE,,,,
Survivors of California's deadliest wildfire haunted as new blaze nears: 'I can't do it again',,The Washington Post,44.05,-7.42,"76,195,000",Left-Center,19,"July 29, 2021",TRUE,,,,
U.S. swimming star breaks down after record-setting win,,NBC Sports,45.81,-7.46,"26,225,000",Left-Center,20,"July 29, 2021",TRUE,,,,
"Roads, broadband and bridges: Here's what's in the infrastructure agreement",,USA Today,45.77,-4.12,"44,075,000",Left-Center,21,"July 29, 2021",FALSE,,,,
"CDC reversal on indoor masking prompts experts to ask, 'Where's the data?",,The Washington Post,44.05,-7.42,"76,195,000",Left-Center,22,"July 29, 2021",FALSE,,,,
Extreme weather is upending lives in the West. 'You walk around with this vague sense of terror.',,CNN,43.77,-8.78,"79,900,000",Left,23,"July 29, 2021",FALSE,,,,
Whistleblowers detail poor conditions for migrant kids in U.S. tent camp,,CBS News,48.04,-3.14,"24,400,000",Left-Center,24,"July 29, 2021",FALSE,,,,
"Swimming Day 6 roundup: Dressel sprints, Ledecky anchors",,NBC Sports,45.81,-7.46,"26,225,000",Left-Center,25,"July 29, 2021",FALSE,,,,
Bipartisan Infrastructure Deal Advances in Senate,,The Wall Street Journal,46.32,4.92,"39,430,000",Right-Center,26,"July 29, 2021",FALSE,,,,
Senate votes to take up infrastructure deal,,The Hill,44.99,-0.38,"24,400,000",Neutral,27,"July 29, 2021",FALSE,,,,
What the CDC's 'substantial' and 'high' levels of Covid-19 transmission actually mean,,CNN,43.77,-8.78,"79,900,000",Left,28,"July 29, 2021",FALSE,,,,
Too hot to endure: See how climate change is pushing the human body to the brink,,The Washington Post,44.05,-7.42,"76,195,000",Left-Center,29,"July 29, 2021",FALSE,,,,
Tunisia in turmoil as president purges officials and seizes judicial power,,The Guardian,44.42,-9.93,"88,750,000",Left-Center,30,"July 29, 2021",FALSE,,,,