Headline,Article,Publication,Reliability Range (Interactive MB),Bias Range (Interactive MB),Audience (Interactive MB),MB/FC Slant,Rank Number,Date Recorded,Within 24 Hours?
"Prior to his murder, Jamal Khashoggi offered to help 9/11 victims suing Saudi Arabia",,Yahoo News,,,,Left-Center,1,"July 11, 2021",TRUE
Recalling California's governor: long shot or lost cause?,,Yahoo News 360,,,,Left-Center,2,"July 11, 2021",TRUE
South Africa violence spreads to Johannesburg in wake of Zuma jailing,,Reuters,,,,Neutral,3,"July 11, 2021",TRUE
Colorado police arrest four people and seize multiple guns in apparent 'Las Vegas-style shooting' plot,,Washington Examiner,,,,Right,4,"July 11, 2021",TRUE
Protests erupt in Georgia after beaten journalist dies,,Associated Press,,,,Neutral,5,"July 11, 2021",TRUE
Clyburn suggests a filibuster carveout for legislation related to Constitution in lieu of elimination,,The Week,,,,Left,6,"July 11, 2021",TRUE
Venice Beach homeless move onto sand when rousted during boardwalk cleanup,,Washington Examiner,,,,Right,7,"July 11, 2021",TRUE
"EU border agency to ""significantly"" step up Lithuania help",,Associated Press,,,,Neutral,8,"July 11, 2021",TRUE
"In blow to Bernie, $3.5T likely starting point for Dem-only infrastructure bill",,Axios,,,,Left-Center,9,"July 11, 2021",TRUE
Zuma jailed: Arrests as protests spread in South Africa,,BBC,,,,Left-Center,10,"July 11, 2021",TRUE
"Chicago Expressway Shooting: Person critically wounded on I-55, Illinois State Police says",,ABC7 Chicago,,,,Neutral,11,"July 11, 2021",TRUE
"Leaders of N.Korea, China vow greater cooperation in face of foreign hostility: KCNA",,Reuters,,,,Neutral,13,"July 11, 2021",FALSE
"Hunter Biden's art gallery vandalized, employee attacked: Police",,Washington Examiner,,,,Right,14,"July 11, 2021",TRUE
"In Jordan sedition trial, U.S. defendant alleges torture",,Associated Press,,,,Neutral,15,"July 11, 2021",TRUE
"The rise of the anti-""woke"" Democrat",,Axios,,,,Left-Center,16,"July 11, 2021",FALSE
"Pope gradually resuming work, walking, eating with aides, Vatican says",,Reuters,,,,Neutral,17,"July 11, 2021",FALSE
Egypt court upholds life sentences for 10 Islamists,,Associated Press,,,,Neutral,18,"July 11, 2021",TRUE
"200-lb shark circles fisherman's boat, stares angler right in the eyes",,Fox News,,,,Right,19,"July 11, 2021",TRUE
,,,,,,,,,
More migrant deaths recorded in heat along Arizona border,,Associated Press,,,,Neutral,1,"July 12, 2021",TRUE
"Seattle woman says flight attendant 'humiliated' her over dirty diaper, said she was on no-fly list",,NBC News,,,,Left-Center,2,"July 12, 2021",TRUE
"Everything was going wrong in his life, but then he won D.C.'s vaccine lottery",,Washington Post,,,,Left-Center,3,"July 12, 2021",TRUE
Death toll at Miami-area condo collapse site climbs to 94,,Associated Press,,,,Neutral,4,"July 12, 2021",TRUE
"Despite Outbreaks Among Unvaccinated, Fox News Hosts Smear Shots",,The New York Times,,,,Left-Center,5,"July 12, 2021",TRUE
An exodus of educators: Resignations hit schools amid furor over critical race theory,,NBC News,,,,Left-Center,6,"July 12, 2021",TRUE
"Biden: federal, local governments must work together to fight U.S. crime",,Reuters,,,,Neutral,7,"July 12, 2021",TRUE
Haiti president's assassination: What we know so far,,BBC,,,,Left-Center,8,"July 12, 2021",TRUE
Ex-judge: EU law mission in Kosovo holds anti-Albanian bias,,Associated Press,,,,Neutral,9,"July 12, 2021",TRUE
Senate Dems plan use of budget maneuver they once called a gimmick,,Axios,,,,Left-Center,10,"July 12, 2021",TRUE
Biden to call efforts to restrict voting 'authoritarian' in speech -White House,,Reuters,,,,Neutral,11,"July 12, 2021",TRUE
Check Out 9 of the Most Stylish Airbnbs Along Mexico's Pacific and Caribbean Coasts,,Architectural Digest,,,,Not sure,12,"July 12, 2021",FALSE
South Africa deploys military to tackle Zuma riots,,BBC,,,,Left-Center,13,"July 12, 2021",TRUE
4 tourists ordered off Bali for violating virus restrictions,,Associated Press,,,,Neutral,14,"July 12, 2021",FALSE
Philippines calls allegation of China election influence 'nonsense',,Reuters,,,,Neutral,15,"July 12, 2021",TRUE
"Over 300,000 demand inquiry into 'Biden family corruption'",,Washington Examiner,,,,Right,16,"July 12, 2021",TRUE
Hong Kong police arrest 5 more in alleged bomb plot,,Associated Press,,,,Neutral,17,"July 12, 2021",TRUE
White House does not rule out Haiti request for U.S. troops,,Reuters,,,,Neutral,18,"July 12, 2021",TRUE
Georgian parliament stormed after journalist's death,,Reuters,,,,Neutral,19,"July 12, 2021",TRUE
Merkel doubts Biden meeting will solve gas pipeline dispute,,Associated Press,,,,Neutral,20,"July 12, 2021",TRUE
Student charged with putting Hitler quote in school yearbook,,Associated Press,,,,Neutral,21,"July 12, 2021",TRUE
Psaki shoots down Clyburn's call for Biden to endorse filibuster carveout,,The Week,,,,Left,22,"July 12, 2021",TRUE
At least 18 people killed in lightning strikes in India,,Reuters,,,,Neutral,23,"July 12, 2021",TRUE
3 men arrested in fatal shooting of 7-year-old girl in Utah,,Associated Press,,,,Neutral,24,"July 12, 2021",TRUE
 US Navy dismisses China's threat: Nothing Beijing 'says otherwise will deter us',,Washington Examiner,,,,Right,25,"July 12, 2021",TRUE
"Amid Belarus migrant row, Lithuania to open new camp for 500 people",,Reuters,,,,Neutral,26,"July 12, 2021",TRUE
Remains identified as husband of missing Wisconsin couple,,Associated Press,,,,Neutral,27,"July 12, 2021",TRUE
Tucker Carlson teases 'new evidence' of voter fraud in Georgia's Fulton County,,Washington Examiner,,,,Right,28,"July 12, 2021",TRUE
These Dreamy Airbnbs Are Driving Distance From the Bay Area,,Architectural Digest,,,,Not sure,29,"July 12, 2021",TRUE
Dominican court grants bail to fugitive Indian-born jeweller Choksi,,Reuters,,,,Neutral,30,"July 12, 2021",TRUE
,,,,,,,,,
"Over 60 dead, dozens missing as severe floods strike Europe",,Associated Press,,,,Neutral,1,"July 14, 2021",TRUE
FBI tried to flip Saudi official in 9/11 investigation,,Yahoo News,,,,Left-Center,2,"July 14, 2021",TRUE
Suspects in Haitian President's Killing Met to Plan a Future Without Him,,The New York Times,,,,Left-Center,3,"July 14, 2021",TRUE
Alabama military base is first in the U.S. to require vaccination proof amid rising covid-19 rates,,Washington Post,,,,Left-Center,4,"July 14, 2021",TRUE
"Deadly floods ravage Germany, other parts of Western Europe",,Yahoo News,,,,Left-Center,5,"July 14, 2021",TRUE
Olivia Rodrigo visits White House to encourage youth vaccinations with Biden and Fauci,,Yahoo News,,,,Left-Center,6,"July 14, 2021",TRUE
Biden goes after Trump and the 'big lie' in speech on voting rights,,Yahoo News,,,,Left-Center,7,"July 14, 2021",FALSE
Biden vowed to end the death penalty. Can he keep his promise?,,Yahoo News,,,,Left-Center,8,"July 14, 2021",TRUE
Israel arrests dozens of Hamas-linked students in West Bank,,Associated Press,,,,Neutral,9,"July 14, 2021",TRUE
"Officials, Taliban strike ceasefire deal in western Afghanistan, says provincial governor",,Reuters,,,,Neutral,10,"July 14, 2021",TRUE
‘Woke’ admissions rules are really just discrimination in disguise,,Washington Examiner,,,,Right,11,"July 14, 2021",TRUE
Palestinians shaken but steadfast as PA suppresses dissent,,Associated Press,,,,Neutral,12,"July 14, 2021",TRUE
"Most Colombians in Haiti went as bodyguards, others knew of assassination plan: Duque",,Reuters,,,,Neutral,13,"July 14, 2021",TRUE
Woman held captive rescued after leaving notes in public restrooms,,NBC News,,,,Left-Center,14,"July 14, 2021",TRUE
White House will continue pursuing Iran deal despite Iranian plot to kidnap US journalist in NYC,,Washington Examiner,,,,Right,15,"July 14, 2021",FALSE
Many Americans embrace falsehoods about critical race theory,,Reuters,,,,Neutral,16,"July 14, 2021",TRUE
Turkey: university rector dismissed after months of protests,,Associated Press,,,,Neutral,17,"July 14, 2021",TRUE
Video Witnesses come forward with new information in Iowa college student’s slaying,,Yahoo News,,,,Left-Center,18,"July 14, 2021",FALSE
"Police: Man arrested, tried to sexually assault girl in Fort Worth restaurant bathroom",,Fort Worth Star-Telegram,,,,Right-Center,19,"July 14, 2021",TRUE
"Biden nominations of McCain and Flake to ambassadorship a signal for 2024, Arizona strategists predict",,Washington Examiner,,,,Right,20,"July 14, 2021",FALSE
Myanmar funeral services overwhelmed as COVID toll mounts,,Reuters,,,,Neutral,21,"July 14, 2021",TRUE
Defense wants 'no press' for part of Arbery jury selection,,Associated Press,,,,Neutral,22,"July 14, 2021",TRUE
"Black Lives Matter blames US, praises Cuban regime, social media erupts",,Fox News,,,,Right,23,"July 14, 2021",TRUE
You Need a Coffee Table With Storage–And We’ve Got 17 for You,,Architectural Digest,,,,Not Sure,24,"July 14, 2021",TRUE
White House maintains that Biden's $4.5 trillion infrastructure bills won't cause inflation to jump,,Washington Examiner,,,,Right,25,"July 14, 2021",TRUE
House Republicans chase midterm dream with mammoth fundraising quarter,,Axios,,,,Left-Center,26,"July 14, 2021",FALSE
Court orders shorter sentence for 'Tiger King' Joe Exotic,,Associated Press,,,,Neutral,27,"July 14, 2021",FALSE
U.S. Senate passes bill to ban all products from China's Xinjiang,,Reuters,,,,Neutral,28,"July 14, 2021",FALSE
Suspect dumps soda on elderly man and hospitalizes him after beating on NYC bus: Video,,Washington Examiner,,,,Right,29,"July 14, 2021",TRUE
"U.S. rejects China maritime claims, calls for ASEAN action on Myanmar",,Reuters,,,,Neutral,30,"July 14, 2021",FALSE
,,,,,,,,,
California Woman Is Charged in Fake COVID-19 Vaccine Card Scheme,,The New York Times,,,,Left-Center,1,"July 15, 2021",TRUE
FBI tried to flip Saudi official in 9/11 investigation,,Yahoo News,,,,Left-Center,2,"July 15, 2021",TRUE
Should masks be required when kids return to school?,,Yahoo News 360,,,,Left-Center,3,"July 15, 2021",TRUE
"Hundreds of Frito-Lay workers on strike in Topeka, citing forced overtime and 84-hour workweeks",,Washington Post,,,,Left-Center,4,"July 15, 2021",FALSE
L.A. County will require masks indoors amid alarming rise in coronavirus cases,,LA Times,,,,Left-Center,5,"July 15, 2021",TRUE
How Accurate Is New York's COVID Death Toll?,,The New York Times,,,,Left-Center,6,"July 15, 2021",TRUE
"With voting rights legislation stalled, Biden still isn't budging on the filibuster",,Yahoo News,,,,Left-Center,7,"July 15, 2021",FALSE
" Costco, Kmart, Aldi and Priceline among new Covid exposure sites",,Yahoo News,,,,Left-Center,8,"July 15, 2021",FALSE
"Iranian kidnapping plot shows that transnational abductions are becoming 'mainstream,' human rights activists say",,Yahoo News,,,,Left-Center,9,"July 15, 2021",FALSE
"China criticizes US for abandoning Afghanistan, warns against 'shirking its responsibility'",,Fox News,,,,Right,10,"July 15, 2021",TRUE
Report: U.S. gun injuries result in at least $1B in health care costs per year,,Yahoo News,,,,Left-Center,11,"July 15, 2021",TRUE
"Teens in Central Park rob woman at knifepoint, footage captures chase, police say",,Fox News,,,,Right,12,"July 15, 2021",TRUE
Biden White House lays out plan to tackle ransomware attacks,,Yahoo News,,,,Left-Center,13,"July 15, 2021",TRUE
"Durham report may not be 'broad' as hoped but prosecutions in play, Nunes says",,Washington Examiner,,,,Right,14,"July 15, 2021",TRUE
Authoritarianism advances as world battles the pandemic,,Associated Press,,,,Neutral,15,"July 15, 2021",TRUE
"2 found dead at former Versace Mansion apparently died by suicide, police say",,NBC News,,,,Left-Center,16,"July 15, 2021",TRUE
Philippines warns about sewage from ships squatting in South China Sea,,Washington Examiner,,,,Right,17,"July 15, 2021",TRUE
Schumer drops bomb on Senate with speedy infrastructure timeline,,Axios,,,,Left-Center,18,"July 15, 2021",TRUE
You Need a Coffee Table With Storage–And We’ve Got 17 for You,,Architectural Digest,,,,Not sure,19,"July 15, 2021",TRUE
Lawyer: US editor jailed in Myanmar fears he has COVID-19,,Associated Press,,,,Neutral,20,"July 15, 2021",TRUE
Volunteer ambulance drivers help take the strain on Indonesia's COVID frontline,,Reuters,,,,Neutral,21,"July 15, 2021",FALSE
"Brad Raffensperger demands firing of Fulton County, Georgia, election officials after double-counted ballots",,Washington Examiner,,,,Right,22,"July 15, 2021",TRUE
"1 officer killed, 4 wounded in standoff with Texas gunman",,Associated Press,,,,Neutral,23,"July 15, 2021",TRUE
U.S. begins shipping 3.2 million COVID shots to the Philippines - White House,,Reuters,,,,Neutral,24,"July 15, 2021",TRUE
"Biden nominations of McCain and Flake to ambassadorship a signal for 2024, Arizona strategists predict",,Washington Examiner,,,,Right,25,"July 15, 2021",FALSE
Court orders shorter sentence for 'Tiger King' Joe Exotic,,Associated Press ,,,,Neutral,26,"July 15, 2021",FALSE
"Officials, Taliban strike ceasefire deal in western Afghanistan, says provincial governor",,Reuters,,,,Neutral,27,"July 15, 2021",TRUE
White House maintains that Biden's $4.5 trillion infrastructure bills won't cause inflation to jump,,Washington Examiner,,,,Right,28,"July 15, 2021",TRUE
Charities in Myanmar strained by soaring death tolls,,Associated Press,,,,Neutral,29,"July 15, 2021",FALSE
Malaysian cabinet backs PM amid coalition infighting,,Reuters,,,,Neutral,30,"July 15, 2021",FALSE
,,,,,,,,,
"After a Steep Plunge in Virus Cases, Every State Is Seeing an Uptick",,The New York Times,,,,LEFT-CENTER,1,"July 16, 2021",TRUE
"Poll: Americans oppose new Texas-style GOP voting restrictions, prefer Democratic reforms",,Yahoo News,,,,LEFT-CENTER,2,"July 16, 2021",FALSE
The Louvre's Art Sleuth Is on the Hunt for Looted Paintings,,The New York Times,,,,LEFT-CENTER,3,"July 16, 2021",TRUE
Arizona governor declares emergency after Flagstaff floods,,Associated Press,,,,Neutral,4,"July 16, 2021",TRUE
"Federal judge finds DACA unlawful, blocks new applicants",,Politico,,,,LEFT-CENTER,5,"July 16, 2021",TRUE
Swipe to see how a major drought is devastating California's water resources,,USA TODAY,,,,LEFT-CENTER,6,"July 16, 2021",TRUE
Man sentenced in wife's beating death on Alaska cruise dies,,Associated Press,,,,Neutral,7,"July 16, 2021",TRUE
Biden digs in on U.S. public lands nominee as Republican opposition mounts,,Reuters,,,,Neutral,8,"July 16, 2021",TRUE
Slain Haiti President Jovenel Moïse to be laid to rest in historic city of Cap-Haïtien,,Miami Herald,,,,LEFT-CENTER,9,"July 16, 2021",TRUE
Iowa duo deny any involvement in Mollie Tibbetts' death,,Associated Press,,,,Neutral,10,"July 16, 2021",TRUE
Sydney tightens lockdown as Australia's COVID-19 cases rise,,Reuters,,,,Neutral,11,"July 16, 2021",TRUE
Melania Trump reportedly tried 4 times to block an election night party at the White House,,The Week,,,,LEFT,12,"July 16, 2021",FALSE
"‘Not a single drawing’: Mom who lost son, husband in Surfside faces life without keepsakes",,Miami Herald,,,,LEFT-CENTER,13,"July 16, 2021",TRUE
"Heavy floods hit Western Europe, at least 126 dead, more missing",,Yahoo News Video,,,,N/A,14,"July 16, 2021",TRUE
Biden: Social media platforms 'killing people' with misinfo,,Associated Press,,,,Neutral,15,"July 16, 2021",TRUE
"Gunman in Fort Worth standoff surrenders after shooting at lawn mowing crew, officers",,Fort Worth Star-Telegram,,,,RIGHT-CENTER,16,"July 16, 2021",TRUE
You Need a Coffee Table With Storage–And We’ve Got 17 for You,,Architectural Digest,,,,LEFT,17,"July 16, 2021",FALSE
New York Governor Cuomo to be deposed in sexual harassment probe -NYT,,Reuters,,,,Neutral,18,"July 16, 2021",FALSE
Syrian president sworn in for 4th term in war-torn country,,Associated Press,,,,Neutral,19,"July 16, 2021",FALSE
Biden grappling with 'pandemic of the unvaccinated',,Associated Press,,,,Neutral,20,"July 16, 2021",TRUE
"France opens doors to vaccinated travellers, restricts others",,Reuters,,,,Neutral,21,"July 16, 2021",FALSE
"Thailand tightens measures as daily cases cross 10,000",,Associated Press,,,,Neutral,22,"July 16, 2021",TRUE
Unstable weather will continue to fuel huge Oregon blaze,,Associated Press,,,,Neutral,23,"July 16, 2021",TRUE
Three new vaccine sites open in Miami-Dade as COVID-19 cases surge in Florida,,Miami Herald,,,,LEFT-CENTER,24,"July 16, 2021",FALSE
AP PHOTOS: Swollen rivers smash through parts of Europe,,Associated Press,,,,Neutral,25,"July 16, 2021",FALSE
"Rudy Giuliani was so 'incredibly drunk' on election night that Trump aides worried he'd smash valuable White House china, Michael Wolff says",,Business Insider,,,,LEFT-CENTER,26,"July 16, 2021",FALSE
"Two more victims identified as Surfside recovery wanes, investigation develops",,Miami Herald,,,,LEFT-CENTER,27,"July 16, 2021",TRUE
SKorea removes banners at Olympic village after IOC ruling,,Associated Press,,,,Neutral,28,"July 16, 2021",TRUE
Fact check: Altered Hunter Biden photo falsely claims Trump won the 2020 election,,USA TODAY,,,,LEFT-CENTER,29,"July 16, 2021",TRUE
Democratic Rep. Beatty arrested while calling for Senate action on voting rights,,Yahoo News Video,,,,N/A,30,"July 16, 2021",TRUE
,,,,,,,,,
‘Pandemic Of The Unvaccinated’: Florida Tallies 20% Of Soaring New COVID-19 Cases In U.S.,,HuffPost,,,,Left,1,"July 17, 2021",TRUE
Hollywood Ripper' sentenced to death for murdering two women in California,,Reuters,,,,Neutral,2,"July 17, 2021",TRUE
Tapping into the Brain to Help a Paralyzed Man Speak,,The New York Times,,,,Left-Center,3,"July 17, 2021",TRUE
"3 Texas Democrats test positive for COVID-19 in Washington, DC",,USA TODAY,,,,Left-Center,4,"July 17, 2021",TRUE
Mom thwarts kidnapping attempt by pulling her son out the car window,,NBC News,,,,Left-Center,5,"July 17, 2021",TRUE
The health and climate consequences of the American food system cost three times as much as the food itself,,Washington Post,,,,Left-Center,6,"July 17, 2021",FALSE
"Poll: Americans oppose new Texas-style GOP voting restrictions, prefer Democratic reforms",,Yahoo News,,,,Left-Center,7,"July 17, 2021",TRUE
GOP lawmakers hold California protest after 3 cancellations,,Associated Press,,,,Neutral,8,"July 17, 2021",TRUE
Children will only get Covid vaccines if vulnerable,,The Telegraph,,,,Right,9,"July 17, 2021",TRUE
"Pope Francis reverses Benedict, reimposes restrictions on Latin Mass",,Yahoo News Video,,,,Left-Center,10,"July 17, 2021",FALSE
Russia offered U.S. use of Central Asia bases for Afghan intel - paper,,Reuters,,,,Neutral,11,"July 17, 2021",TRUE
"Thailand tightens measures as daily cases cross 10,000",,Associated Press,,,,Neutral,12,"July 17, 2021",FALSE
Philippines' Pacquiao ousted as president of ruling party after row,,Reuters,,,,Neutral,13,"July 17, 2021",TRUE
"Unvaccinated less likely to have jab if Covid passports become mandatory, says expert",,The Telegraph,,,,Right,14,"July 17, 2021",TRUE
Tribe claims remains of kids who died at assimilation school,,Associated Press,,,,Neutral,15,"July 17, 2021",TRUE
New York Governor Cuomo to be deposed in sexual harassment probe -NYT,,Reuters,,,,Neutral,16,"July 17, 2021",TRUE
Afghan ambassador's daughter brutally assaulted in Pakistan,,Associated Press,,,,Neutral,17,"July 17, 2021",TRUE
South Korea to bring home sailors aboard virus-hit destroyer,,Associated Press,,,,Neutral,18,"July 17, 2021",TRUE
AP FACT CHECK: Trump makes false claims about Arizona audit,,Associated Press,,,,Neutral,19,"July 17, 2021",TRUE
A Florida man is facing charges as police say he stole an alligator and attempted to throw it on a roof,,INSIDER,,,,Left-Center,20,"July 17, 2021",TRUE
A brawl outside Shake Shack in Detroit involving up to a dozen young girls was caught on camera,,Business Insider,,,,Left-Center,21,"July 17, 2021",TRUE
Gaetz and Greene Hold Bizarre Outdoors ‘Protest’ After Multiple Venues Bailed,,The Daily Beast,,,,Left,22,"July 17, 2021",TRUE
Ted Cruz mocked for blaming rise in Covid cases in Texas on illegal immigrants,,The Independent,,,,Left-Center,23,"July 17, 2021",TRUE
Democrats See Edge in Early Senate Map as Trump Casts Big Shadow,,The New York Times,,,,Left-Center,24,"July 17, 2021",TRUE
Video shows moment neighbors use sledgehammer to break through walls and rescue elderly woman in Belgium floods,,INSIDER,,,,Left-Center,25,"July 17, 2021",TRUE
"Man in critical condition after Loop shooting, Chicago police say",,WLS – Chicago,,,,Neutral,26,"July 17, 2021",TRUE
A Russian passenger plane that disappeared in Siberia has been located with all 19 people aboard still alive,,Business Insider,,,,Left-Center,27,"July 17, 2021",FALSE
Haiti’s First Lady Makes Surprise Return,,The Daily Beast,,,,Left,28,"July 17, 2021",TRUE
Police tase Black man who allegedly held subway gate open for fellow passenger,,The Independent,,,,Left-Center,29,"July 17, 2021",FALSE
Texas Democrats vs. Gov. Greg Abbott: Who will blink first? Abbott may have the upper hand,,USA TODAY,,,,Left-Center,30,"July 17, 2021",TRUE
,,,,,,,,,
Merkel visits 'surreal' flood zone as death toll rises,,AFP,,,,Neutral,1,"July 18, 2021",FALSE
The Pandemic Has a New Epicenter: Indonesia,,The New York Times,,,,Left-Center,2,"July 18, 2021",TRUE
Texas patient becomes U.S.' first monkeypox case since 2003,,CBS News,,,,Left-Center,3,"July 18, 2021",FALSE
Can the Black Rifle Coffee Company Become the Starbucks of the Right?,,The New York Times,,,,Left-Center,4,"July 18, 2021",TRUE
California fire prompts evacuations; Oregon blaze balloons,,Associated Press,,,,Neutral,5,"July 18, 2021",FALSE
"I Am Heartbroken': Returning Home to Devastation, With a Sense of Shock",,The New York Times,,,,Left-Center,6,"July 18, 2021",TRUE
